customer_unique_id,customer_type,language,customer_category,date_of_birth,minor,sex,marital_status
23211000,I,ENG,IND,1978-06-17 00:00:00,N,F,M
71281000,I,ENG,IND,1932-01-11 00:00:00,N,M,M
9221001,I,ENG,IND,1982-08-24 00:00:00,N,M,S
29281001,I,ENG,IND,1976-01-01 00:00:00,N,M,M
53261001,I,ENG,IND,1958-09-01 00:00:00,N,M,M
54271001,I,ENG,IND,1970-12-09 00:00:00,N,M,M
59231002,I,ENG,IND,1968-01-05 00:00:00,N,M,M
78281002,I,ENG,IND,1960-04-14 00:00:00,N,M,S
43201003,I,ENG,IND,1960-01-01 00:00:00,N,M,M
4211004,I,ENG,IND,1968-02-16 00:00:00,N,F,S
12291004,I,ENG,IND,1960-10-10 00:00:00,N,M,M
62231004,I,ENG,IND,1974-09-18 00:00:00,N,M,M
27241005,I,ENG,IND,1970-01-01 00:00:00,N,M,M
51241005,I,ENG,IND,1970-05-15 00:00:00,N,F,M
58261005,I,ENG,IND,1976-05-22 00:00:00,N,F,M
63271005,I,ENG,IND,1973-12-25 00:00:00,N,F,M
13231006,I,ENG,IND,1964-10-11 00:00:00,N,M,M
83281006,I,ENG,IND,1978-09-10 00:00:00,N,M,S
97271007,I,ENG,IND,1967-08-23 00:00:00,N,M,M
25241008,I,ENG,IND,1980-12-16 00:00:00,N,M,M
87381001,I,ENG,IND,1970-02-19 00:00:00,N,M,S
1321003,I,ENG,IND,1970-06-25 00:00:00,N,M,M
99301003,I,ENG,IND,1963-09-19 00:00:00,N,M,M
6331007,I,ENG,IND,1970-02-11 00:00:00,N,M,S
13301007,I,ENG,IND,1976-08-26 00:00:00,N,M,M
92371008,I,ENG,IND,1968-02-18 00:00:00,N,M,S
24371009,I,ENG,IND,1975-04-03 00:00:00,N,M,S
52331009,I,ENG,IND,1969-09-07 00:00:00,N,M,M
28471000,I,ENG,IND,1975-07-05 00:00:00,N,M,M
83421000,I,ENG,IND,1966-05-09 00:00:00,N,M,M
2471001,I,ENG,IND,1976-07-17 00:00:00,N,M,M
24451001,I,ENG,IND,1982-10-27 00:00:00,N,M,S
68441001,I,ENG,IND,1982-07-05 00:00:00,N,M,S
55461002,I,ENG,IND,1949-12-01 00:00:00,N,F,M
44461008,I,ENG,IND,1979-10-26 00:00:00,N,F,M
46471008,I,ENG,IND,1973-06-02 00:00:00,N,M,S
40491009,I,ENG,IND,1981-09-25 00:00:00,N,M,S
43531000,I,ENG,IND,1978-06-12 00:00:00,N,M,M
72501000,I,ENG,IND,1978-10-01 00:00:00,N,M,M
94591000,I,ENG,IND,1972-12-31 00:00:00,N,M,M
5511001,I,ENG,IND,1974-08-16 00:00:00,N,M,M
26561001,I,ENG,IND,1978-04-09 00:00:00,N,M,S
