customer_unique_id,amount,tenor,date_difference
226008,600000.0,45.0,45.0
1321003,1100000.0,364.0,364.0
1352000,450000.0,31.0,28.0
2366007,150000.0,30.0,30.0
2471001,1000000.0,247.0,247.0
3830006,560000.0,69.2,69.2
3981007,17668500.0,118.35714285714286,117.5
4211004,42550000.0,80.16666666666667,68.33333333333333
6067011,290000.0,32.0,30.0
6094003,1000000.0,30.0,29.0
8034005,165000.0,50.0,50.0
8993008,5838555.555555556,132.0,131.33333333333334
9722006,350000.0,45.5,44.0
11256006,940000.0,159.8,82.4
13231006,1000000.0,87.0,87.0
13722009,471555.55555555556,81.11111111111111,80.66666666666667
13933008,814090.9090909091,106.27272727272727,105.9090909090909
16882004,4125000.0,30.5,29.25
16986015,700000.0,58.0,56.0
18030000,54640689.31235295,38.72549019607843,36.6078431372549
19400009,9600000.0,32.0,32.0
22972006,726000.0,93.0,85.0
23973008,1465000.0,117.0,116.33333333333333
25213010,10000000.0,209.5,209.5
25610009,1000000.0,177.0,177.0
26174010,100000.0,80.0,79.0
26992001,1400000.0,114.66666666666667,114.33333333333333
27782006,1189550.0,94.9,93.95
28278008,400000.0,344.0,343.0
28471000,10000000.0,32.0,30.0
29313003,1250000.0,70.0,69.75
34574000,713666.6666666666,150.66666666666666,149.83333333333334
34725003,500000.0,90.0,90.0
35483018,1250000.0,196.0,195.0
36043007,2065500.0,72.5,71.0
36233007,2500000.0,99.0,99.0
36326009,120000.0,30.0,30.0
37710014,500000.0,7.0,7.0
37741001,18528395.357,100.2,99.4
39816008,201545.45454545456,27.818181818181817,26.363636363636363
41694013,180000.0,45.0,45.0
42075005,5000000.0,180.0,176.0
43466003,500000.0,142.0,142.0
43988000,350000.0,121.0,121.0
44845005,1000000.0,108.0,108.0
45156001,1684000.0,48.5,47.8
45654013,250000.0,104.0,104.0
46025000,755500.0,146.5,146.5
50333003,820000.0,70.0,66.0
51595009,625000.0,30.5,30.0
52584000,2553484.8484848486,177.15151515151516,176.0909090909091
52662009,1200000.0,30.5,5.5
53741004,700000.0,30.0,28.333333333333332
54962001,900000.0,96.5,96.5
55171006,6583333.333333333,105.33333333333333,101.0
55363003,8445666.666666666,60.416666666666664,56.916666666666664
55382004,2666666.6666666665,91.0,91.0
58741003,3250000.0,227.5,227.0
60378009,2263000.0,77.2,77.2
61031004,267000.0,91.5,91.0
61523005,1151500.0,163.33333333333334,163.16666666666666
63144001,691142.8571428572,165.28571428571428,164.05714285714285
63211014,200000.0,128.5,128.5
63811003,6000000.0,180.0,172.0
64054003,400000.0,111.0,85.0
64814000,500000.0,177.66666666666666,177.33333333333334
65681018,135000.0,133.0,133.0
69090004,7333105.002,132.36666666666667,129.91666666666666
71120007,247600.0,90.0,89.0
71281000,866666.6666666666,90.25,89.25
72001011,100000.0,196.0,196.0
72804009,1400000.0,90.66666666666667,90.66666666666667
73055000,550000.0,180.0,180.0
74420006,766333.3333333334,85.33333333333333,76.66666666666667
75951002,1572500.0,223.5,223.0
76114009,4164700.0,172.1,171.7
78167002,300000.0,34.0,31.0
79222003,1500000.0,32.0,31.0
79640007,1141200.18,86.36363636363636,85.04545454545455
80174009,550000.0,102.0,101.5
82276003,295000.0,128.23076923076923,128.23076923076923
83421000,1850000.0,73.16666666666667,68.83333333333333
85661005,1604785.7142857143,222.28571428571428,219.28571428571428
86661005,1500000.0,32.0,31.0
88602001,266571.4285714286,148.07142857142858,147.71428571428572
91675005,321100.0,102.6,102.2
92650001,8336250.0,244.25,244.25
94175010,150000.0,60.0,60.0
94702004,900000.0,83.5,83.5
96114009,778571.4285714285,37.142857142857146,30.285714285714285
98681006,1015571.4285714285,116.14285714285714,111.71428571428571
99124009,3273000.0,205.0,204.42857142857142
99488009,962000.0,135.0,85.0
99546007,10000.0,90.0,90.0
110656006,1400000.0,125.0,125.0
123548008,1900000.0,49.0,49.0
126667003,100000.0,30.0,23.0
134170000,535000.0,318.0,318.0
136653000,150000.0,62.5,62.0
137082007,450000.0,84.33333333333333,84.33333333333333
140121006,700000.0,59.0,58.0
143966005,633333.3333333334,178.66666666666666,160.0
146639003,500000.0,90.0,90.0
148584009,16000000.0,368.0,367.0
158157000,150000.0,48.0,45.0
162750001,888666.6666666666,39.333333333333336,39.333333333333336
166360003,198333.33333333334,103.0,103.0
167963008,150000.0,31.0,19.0
169274000,1908750.0,60.45,60.2
172877006,623333.3333333334,90.0,89.0
173171002,150000.0,87.0,86.0
183512000,1000000.0,53.0,53.0
183684003,618333.3333333334,93.83333333333333,92.66666666666667
200672005,500000.0,240.0,240.0
203362005,143333.33333333334,71.66666666666667,71.66666666666667
209007001,200000.0,90.0,90.0
211771000,400000.0,30.0,30.0
226223002,600000.0,126.5,126.5
232876001,191428.57142857142,90.28571428571429,90.14285714285714
248035004,1000000.0,79.0,79.0
249962000,1400000.0,188.0,184.0
250703009,200000.0,60.0,60.0
250815008,6000000.0,30.0,29.0
258176003,1030000.0,89.0,89.0
266941004,100000.0,92.0,90.0
269714000,500000.0,156.0,156.0
283819007,1000100.0,32.0,31.0
289346003,100000.0,30.0,30.0
301285003,1730000.0,44.0,44.0
306042003,1945000.0,30.75,28.5
308969000,4685428.571428572,173.14285714285714,172.42857142857142
310793007,3377916.6666666665,133.91666666666666,133.5
320283016,600000.0,108.0,108.0
323119013,400000.0,252.0,252.0
323286007,1000000.0,168.0,168.0
323559010,107000.0,81.2,81.0
328213005,100000.0,94.0,93.0
330812001,3000000.0,223.0,223.0
331794001,500000.0,42.0,42.0
335632002,4000000.0,40.333333333333336,36.0
336061003,150000.0,61.333333333333336,60.333333333333336
338032007,142500.0,23.833333333333332,22.833333333333332
338988001,240000.0,55.0,55.0
340563015,100000.0,66.0,66.0
343573012,150000.0,50.0,49.5
344792000,1765000.0,57.0,57.0
345590005,373333.3333333333,89.0,78.0
347164004,200000.0,97.0,94.0
350642005,3500000.0,289.0,289.0
352304015,266666.6666666667,181.91666666666666,181.58333333333334
352394015,350000.0,46.333333333333336,46.333333333333336
352949005,2781250.0,248.875,248.5
359994006,780000.0,136.5,134.25
360966004,466666.6666666667,40.666666666666664,33.0
366985000,1900000.0,227.0,227.0
372292005,200000.0,104.0,104.0
372956003,725000.0,169.75,169.75
373045009,200000.0,94.0,93.0
374337009,300000.0,60.0,60.0
376921008,2000000.0,182.0,75.0
380214004,500000.0,295.0,294.0
383381000,1025000.0,133.5,120.0
384109009,140000.0,42.4,42.0
385465004,650000.0,76.6,75.2
385584016,1800000.0,118.0,117.0
387554007,505294.1176470588,72.88235294117646,72.05882352941177
390102008,1262500.0,151.5,151.25
390844008,1397166.6666666667,106.5,104.83333333333333
399487000,1390333.3333333333,62.5,61.111111111111114
402631001,100000.0,30.0,30.0
406549007,355000.0,62.5,61.5
415885018,150000.0,60.0,60.0
422762004,2500000.0,59.0,59.0
427206004,500000.0,190.66666666666666,190.0
434415003,500000.0,90.0,90.0
437484009,1200000.0,134.0,133.0
443103004,300000.0,184.0,184.0
443665007,200000.0,30.0,30.0
445303007,1017500.0,67.0,67.0
448350002,3200000.0,200.5,200.5
448476007,200000.0,70.0,69.0
455847007,200000.0,30.0,30.0
456405019,128982.8,54.5,54.0
458869002,800000.0,114.0,114.0
461767007,805000.0,177.875,177.875
476269008,1983333.3333333333,120.66666666666667,120.66666666666667
484511001,125000.0,90.5,89.0
489841004,11251250.0,45.75,45.0
492380004,200000.0,92.0,92.0
494131000,100000.0,90.0,90.0
496247016,225000.0,72.0,72.0
498015011,300000.0,60.0,54.0
498182009,250000.0,170.0,170.0
500727003,1500000.0,91.0,90.0
500954008,450000.0,50.0,49.0
504787006,750000.0,69.5,69.5
505387002,1000000.0,57.0,56.0
506122008,650000.0,45.0,44.0
506280000,1450000.0,292.0,292.0
511667009,1173000.0,146.0,146.0
518292001,720000.0,99.0,85.0
520987002,400000.0,31.0,30.0
522965002,600000.0,275.0,275.0
523013005,13422587.986923076,65.38461538461539,56.23076923076923
525005000,450000.0,78.0,78.0
525679002,316000.0,30.2,30.0
533765007,400000.0,184.0,184.0
534296010,3106666.6666666665,57.53333333333333,56.13333333333333
536377002,500000.0,97.0,97.0
537927008,25000.0,30.0,30.0
538074005,700000.0,244.0,244.0
539590003,5000000.0,104.75,104.75
539654000,2000000.0,90.0,90.0
541280005,8000000.0,32.0,32.0
541963006,1043000.0,127.0,85.0
544525007,3458000.0,148.76666666666668,148.33333333333334
552470005,5500000.0,76.0,76.0
557624010,230000.0,141.0,141.0
559515002,850000.0,30.5,28.5
562479006,2800000.0,60.0,59.0
564163003,628500.0,178.0,177.5
568383003,100000.0,77.5,77.5
570678000,100000.0,48.0,48.0
574031002,500000.0,182.0,180.0
584654007,980000.0,98.0,98.0
584876003,300000.0,93.0,92.33333333333333
592334006,100000.0,31.0,30.0
595539008,120000.0,148.0,148.0
597139002,3200000.0,30.5,28.75
599195009,1000000.0,90.0,89.0
599271004,616666.6666666666,54.333333333333336,53.666666666666664
602261005,200000.0,90.0,90.0
604372000,210000.0,83.0,83.0
604416007,650000.0,55.0,55.0
606979004,1007000.0,103.8,103.8
607178005,100000.0,60.0,60.0
609462007,100000.0,49.0,49.0
610436003,200000.0,90.0,29.0
610713007,884800.0,77.6,77.6
611713007,471076.92307692306,99.53846153846153,99.53846153846153
613522002,4000000.0,139.66666666666666,139.66666666666666
614625006,450000.0,31.0,28.0
616946005,133750.0,326.75,326.75
625256006,201333.33333333334,204.66666666666666,203.66666666666666
628451008,700000.0,233.0,233.0
628489001,396200.0,289.0,288.2
628514002,233333.33333333334,150.0,149.66666666666666
629299001,237222.22222222222,94.0,93.44444444444444
629895002,400000.0,119.0,118.0
630129002,837500.0,75.0,74.75
630806004,230000.0,60.666666666666664,60.0
631856009,557000.0,193.44444444444446,193.33333333333334
633165005,720000.0,37.166666666666664,36.166666666666664
633169002,400000.0,160.0,156.0
634326003,4080500.0,148.16666666666666,147.83333333333334
634723005,115000.0,30.0,30.0
635159002,100000.0,62.0,62.0
635368007,800000.0,227.0,227.0
636571005,148000.0,145.5,145.5
637116007,400000.0,63.0,63.0
637314002,3830955.9525,121.25,108.5
641089000,441875.0,90.1875,89.8125
641314002,2015454.5454545454,107.0909090909091,105.54545454545455
642625006,2979500.0,125.0,125.0
642782008,101000.0,30.0,30.0
645433017,100000.0,32.0,30.0
649403000,250000.0,98.0,98.0
652750009,1750000.0,40.3,40.1
657601000,3000000.0,169.0,169.0
660384002,100000.0,70.0,70.0
663328009,230000.0,60.0,60.0
663446001,2000000.0,190.0,189.0
663698000,276600.0,48.8,48.8
665043007,305000.0,43.0,43.0
665402008,316666.6666666667,80.0,79.33333333333333
666204007,450000.0,108.0,107.0
666246000,2912500.0,45.25,44.5
667426004,275000.0,45.0,45.0
668148009,200000.0,60.0,60.0
668899001,500000.0,89.0,84.0
669064007,600000.0,28.0,28.0
669149005,1350000.0,239.5,239.5
670917003,200000.0,61.0,61.0
672044004,102000.0,63.0,62.0
673658000,1967500.0,66.5,66.5
675540005,1666666.6666666667,31.0,30.0
677693006,823333.3333333334,99.0,98.0
678755005,5008000.0,321.5,321.3333333333333
679680000,211142.85714285713,97.42857142857143,97.42857142857143
679735005,400000.0,65.0,65.0
681708002,1545000.0,85.0,15.0
682038005,550000.0,199.0,198.0
683334002,1200000.0,182.0,181.0
683444003,1821833.3333333333,153.0,151.83333333333334
683536001,876250.0,94.625,93.375
683825000,175000.0,142.5,142.5
684820002,500000.0,30.0,27.0
685517005,443400.0,128.0,128.0
686783003,3094352.9411764704,114.23529411764706,113.82352941176471
691412007,866666.6666666666,89.33333333333333,89.33333333333333
693236005,290000.0,219.6,219.2
694516002,282000.0,75.8,75.2
695088008,405000.0,62.0,62.0
695532002,549000.0,189.0,188.0
695728006,110000.0,43.0,43.0
697154004,8858000.0,59.542857142857144,57.25714285714286
698934002,1550000.0,31.0,30.5
699738009,560000.0,141.5,141.0
706506000,1500000.0,90.0,90.0
710834004,291200.0,66.2,65.8
712452003,100000.0,50.0,50.0
717861000,250000.0,217.0,216.0
718815003,20000000.0,30.5,29.5
724996005,200000.0,60.666666666666664,59.0
726200005,1018000.0,69.5,69.5
736980005,300000.0,37.0,37.0
737648004,100000.0,45.0,45.0
742734004,664500.0,83.0,82.5
747196003,2842400.0,134.2,133.4
749156003,321000.0,70.0,70.0
751211005,420000.0,80.5,79.5
751640004,150000.0,38.0,38.0
752600004,500000.0,60.0,59.0
756051005,3000000.0,113.0,113.0
756670004,1125000.0,136.0,135.5
759050002,500000.0,56.0,56.0
762042007,1020000.0,57.0,57.0
763326003,465000.0,55.0,54.5
773689006,700000.0,66.0,65.0
775140008,425000.0,117.5,117.5
782994000,250000.0,90.0,90.0
785791004,1350000.0,190.5,190.5
785985006,240000.0,63.0,63.0
786350003,262500.0,31.75,30.0
795824001,1100000.0,32.0,31.0
797501007,9061000.0,135.125,133.75
797835005,500000.0,71.0,71.0
799140000,1000000.0,83.0,83.0
799845005,509375.0,145.4375,145.375
817343002,368500.0,80.5,80.25
824099004,190000.0,113.0,113.0
826079004,300000.0,166.0,165.5
826089004,1000000.0,78.0,78.0
827059004,400000.0,304.0,304.0
832524007,11912625.0,79.0625,78.5
837391008,200000.0,71.0,71.0
838091002,135000.0,63.0,63.0
841683005,198200.0,87.6,87.6
843740007,435000.0,55.5,55.0
848039002,110000.0,30.0,30.0
850012007,200000.0,90.0,89.0
853027005,100000.0,61.0,60.0
860447007,350000.0,40.0,40.0
861582003,3000000.0,71.0,71.0
876047008,100000.0,52.0,52.0
878910006,300000.0,135.0,134.66666666666666
880213006,112500.0,46.5,46.5
885861003,200000.0,245.0,245.0
891073003,260000.0,180.0,180.0
895390003,200000.0,275.0,275.0
899692003,155000.0,109.5,109.5
