customer_unique_id,val_dt,bal
278604001,10/1/2019,20017.89
936686000,10/1/2019,77327.98
344873019,10/1/2019,27.57
656653006,10/1/2019,1000.0
492905009,10/1/2019,17058.14
663698000,10/1/2019,1000852.3
691895001,10/1/2019,838.46
848069005,10/1/2019,725.04
957311006,10/1/2019,1539.02
567082006,10/1/2019,6620194.33
489687007,10/1/2019,41190.62
52675005,10/1/2019,63632.8
577379001,10/1/2019,53826.66
139411009,10/1/2019,73.76
105684000,10/1/2019,48241.34
334822008,10/1/2019,12.38
880213009,10/1/2019,5.7
431770010,10/1/2019,18772.43
724467001,10/1/2019,97800.26
369298012,10/1/2019,100447.77
853832000,10/1/2019,929.48
52331009,10/1/2019,9468.33
191342004,10/10/2019,123.49
37952018,10/10/2019,30.48
343627011,10/10/2019,2853.15
513029010,10/10/2019,6315.92
200428003,10/10/2019,11343.99
390102008,10/10/2019,38950.46
226223002,10/10/2019,28455.05
969273007,10/10/2019,709.1
2664008,10/10/2019,134579.47
738281002,10/10/2019,6240.77
461442003,10/10/2019,85338.87
875431001,10/10/2019,413.48
536377002,10/11/2019,15937.55
23454019,10/11/2019,133.1
197530000,10/11/2019,0.0
505387002,10/11/2019,26.21
591376006,10/11/2019,5364.84
402035010,10/11/2019,10811.73
219997001,10/11/2019,4594.63
526473003,10/11/2019,209286.59
145726004,10/11/2019,31338.65
572502009,10/11/2019,37965.48
372956003,10/11/2019,11020.0
146639003,10/11/2019,242.6
188612001,10/11/2019,51962.73
586320013,10/11/2019,0.0
679319004,10/11/2019,319040.07
22186007,10/11/2019,93163.31
669149005,10/11/2019,20636.71
931720006,10/11/2019,2361.65
693853011,10/11/2019,0.0
384604006,10/11/2019,9116.91
588159015,10/11/2019,201.13
641325000,10/11/2019,204517.0
536607000,10/12/2019,2947.5
151352000,10/12/2019,361640.05
18545018,10/12/2019,19824.2
488617002,10/12/2019,0.0
1861000,10/12/2019,29435.69
736980005,10/12/2019,0.0
358223014,10/12/2019,33259.44
435965016,10/12/2019,171519.12
742671002,10/13/2019,377.38
576442007,10/13/2019,882.5
439225009,10/13/2019,16490.05
150504004,10/14/2019,177.6
398844010,10/14/2019,-40.0
689245008,10/14/2019,35.13
632565003,10/14/2019,-47.35
399344016,10/14/2019,7357.84
