customer_unique_id,product_code,account_status,date_difference,amount_financed
4931014,PDLP,L,30.0,24200.0
4995002,AMPC,L,29.88888888888889,4011.1111111111113
4995004,PDLP,L,30.0,50571.42857142857
5093005,AMPC,L,30.0,11157.894736842105
5216001,AMPC,L,30.0,2985.185185185185
5393010,DFPS,A,365.0,34000.0
5405007,AMPC,L,30.0,96418.33333333333
5449003,AMPC,L,29.896551724137932,7344.827586206897
5511001,PDLP,L,30.0,8807.692307692309
5525006,PDLP,A,107.85714285714286,62095.57142857143
5573004,AMPC,L,53.07692307692308,95307.69230769231
5651010,AMPC,L,30.0,6222.222222222223
5697002,PDLP,A,30.0,21000.0
5715009,AMPC,L,30.0,8517.241379310344
5722003,PDLP,L,80.70370370370371,80522.26666666668
5766001,AMPC,L,30.0,5111.111111111111
5775003,PDLP,L,30.0,17250.0
5785002,AMPC,L,30.0,10705.882352941177
5786010,PDLP,L,60.0,175944.84210526315
5799001,PDLP,L,80.0,67444.44444444444
5835007,AMPC,L,30.0,14058.823529411764
5848007,PDLP,A,30.0,26562.5
5875004,AMPC,L,30.02857142857143,26628.571428571428
5881003,PDLP,L,30.0,6035.294117647059
5886014,PDLP,A,30.0,23800.0
5943001,PDLP,L,30.0,20000.0
5994018,AMPC,L,30.0,4260.0
5995004,AMPC,L,30.0,30150.0
6067011,PDLP,L,30.0,14000.0
6076005,PDLP,A,30.0,57500.0
6094003,AMPC,L,30.0,47003.333333333336
6258002,AMPC,L,55.0,98833.33333333333
6294007,AMPC,L,39.375,58687.5
6296008,PDLP,A,30.0,75000.0
6326007,AMPC,L,30.0,31777.777777777777
6326016,PDLP,L,30.0,18384.615384615383
6331007,PDLP,L,30.0,58600.0
6363010,PDLP,L,30.0,18210.526315789473
6435001,AMPC,L,30.0,3245.4545454545455
6518006,PDLP,A,30.0,37000.0
6585018,PDLP,L,47.63157894736842,16556.78947368421
6602014,AMPC,L,30.0,15250.0
6644011,AMPC,L,30.0,8450.0
6698000,PDLP,L,30.0,22250.0
6740019,PDLP,L,30.0,33142.857142857145
6750019,PDLP,L,30.0,23416.666666666668
6771008,PDLP,L,30.0,18333.333333333332
6890011,AMPC,L,30.0,9428.57142857143
6963001,PDLP,L,30.0,87368.42105263157
6964008,PDLP,L,30.0,8222.222222222223
6991006,AMPC,L,135.875,130744.5
6995002,PDLP,L,30.0,2188.2758620689656
7017009,AMPC,L,30.0,30160.0
7043003,AMPC,L,30.0,13200.0
7174005,AMPC,L,36.391304347826086,13472.717391304348
7182012,PDLP,L,30.0,20000.0
7312004,AMPC,L,30.0,7500.0
7352018,PDLP,L,30.0,11000.0
7393010,AMPC,L,30.0,8607.142857142857
7569000,PDLP,A,80.0,191225.0
7591005,PDLP,L,30.0,12333.333333333334
7643010,PDLP,L,30.0,14090.90909090909
7671010,PDLP,L,30.0,10042.857142857143
7684006,PDLP,L,30.0,14777.777777777777
7711003,AMPC,L,30.0,14409.09090909091
7754005,AMPC,L,33.0,36100.0
7763007,PDLP,A,105.0,45000.0
7763007,STPL,L,105.0,45000.0
7792005,PDLP,L,30.0,11916.666666666666
7866015,AMPC,L,30.0,5166.666666666667
7891018,PDLP,L,30.0,6600.0
7904012,PDLP,L,30.0,11636.363636363636
7931000,AMPC,L,267.6,1078750.0
7931019,AMPC,L,30.0,4089.74358974359
7940007,AMPC,L,30.0,32454.545454545456
7952015,PDLP,L,30.0,13400.0
7971005,PDLP,L,30.0,14500.0
7981019,STPL,L,180.0,300000.0
7992006,PDLP,L,74.66666666666667,30357.133333333335
7995003,PDLP,L,33.94736842105263,33934.21052631579
8007007,SADV,L,85.71428571428571,107646.87428571428
8022005,PDLP,A,30.0,3088.8
8034005,AMPC,L,30.0,7166.666666666667
8106008,PDLP,L,30.0,21141.583333333332
8134010,AMPC,L,30.0,7750.0
8173014,AMPC,L,30.0,19684.21052631579
8204006,PDLP,L,30.0,32500.0
8216001,PDLP,L,30.0,47906.25
8236001,PDLP,L,30.0,14125.0
8316007,PDLP,L,30.0,20000.0
8367007,AMPC,L,30.0,12392.857142857143
8490002,AMPC,L,33.75,33700.0
8546004,PDLP,A,30.0,43571.42857142857
8627002,AMPC,L,30.0,10333.333333333334
8734004,AMPC,L,30.0,59000.0
8735002,PDLP,A,30.0,14250.0
8767003,PDLP,L,30.0,4727.272727272727
8783019,PDLP,A,30.0,15000.0
8855003,PDLP,L,30.0,12574.074074074075
8884003,AMPC,L,30.0,9714.285714285714
8885003,PDLP,L,30.0,11882.35294117647
8911009,AMPC,L,30.0,8045.454545454545
8921006,PDLP,L,41.53846153846154,66923.07692307692
8975002,PDLP,L,29.83783783783784,6010.351351351352
8991001,PDLP,L,30.0,9785.714285714286
8993008,AMPC,L,31.962962962962962,78898.1537037037
9019002,AMPC,L,30.0,46958.333333333336
9215016,PDLP,L,30.0,71666.66666666667
9221001,PDLP,L,30.0,29000.0
9280008,PDLP,L,118.60606060606061,157272.72727272726
9325014,PDLP,L,30.0,65153.846153846156
9426001,AMPC,L,30.0,9687.5
9432017,PDLP,L,30.0,6450.0
9451015,PDLP,L,30.0,11428.57142857143
9454009,AMPC,L,81.53846153846153,14930.0
9563004,PDLP,L,30.0,9428.57142857143
9658007,PDLP,L,30.0,14000.0
9714000,AMPC,L,29.925925925925927,24753.703703703704
9714004,PDLP,L,72.734375,57618.25
9722006,AMPC,L,141.66666666666666,60894.666666666664
9841002,AMPC,L,30.0,6850.0
9852008,AMPC,L,30.0,18066.666666666668
9892004,AMPC,L,36.25,239791.66666666666
9909006,AMPC,L,30.0,13777.777777777777
9930006,PDLP,L,30.0,62000.0
9941007,PDLP,L,30.0,18200.0
9951019,PDLP,L,30.0,26782.608695652172
10014006,PDLP,L,30.0,11400.0
10077005,PDLP,L,29.8,26700.0
10116008,AMPC,L,29.954545454545453,11181.818181818182
10186001,PDLP,L,30.0,7250.0
10205007,PDLP,L,30.0,5720.0
10222000,AMPC,L,29.862068965517242,3889.655172413793
10262017,PDLP,L,30.0,25666.666666666668
10273005,AMPC,L,40.4468085106383,54079.78723404255
10285017,AMPC,L,35.172413793103445,49222.44827586207
10295017,AMPC,L,48.46153846153846,40846.153846153844
10413007,PDLP,L,30.0,17600.0
10464008,PDLP,L,30.0,11250.0
10483003,PDLP,L,30.0,7400.0
10484008,PDLP,L,30.0,6285.714285714285
10495004,PDLP,L,30.0,30000.0
10517001,PDLP,A,30.0,27400.0
10568001,PDLP,A,30.0,35000.0
10569004,AMPC,L,30.0,4500.0
10589002,PDLP,A,30.0,50000.0
10640006,STPL,A,180.0,362226.0
10660014,AMPC,L,30.0,12350.0
10714000,AMPC,L,30.0,14800.0
10733014,AMPC,L,30.0,11847.225
10735011,AMPC,L,30.0,29813.043478260868
10761013,PDLP,L,30.0,9266.666666666666
10915003,PDLP,L,30.0,29314.285714285714
10921007,PDLP,L,30.0,25000.0
11012011,PDLP,L,30.0,20000.0
11012017,PDLP,L,30.0,20000.0
11013015,AMPC,L,30.0,14909.09090909091
11029002,PDLP,A,30.0,18000.0
11032007,AMPC,L,29.75,3138.8888888888887
11103017,AMPC,L,30.0,25000.0
11160010,PDLP,L,30.0,9400.0
11176001,AMPC,L,29.875,8593.083333333334
11192008,PDLP,L,30.0,44666.666666666664
11193013,AMPC,L,30.0,34153.846153846156
11205001,AMPC,L,30.0,13421.052631578947
11256006,AMPC,L,52.94444444444444,152777.77777777778
11296008,PDLP,A,30.0,12500.0
11383011,AMPC,L,30.0,19555.555555555555
11385003,AMPC,L,30.0,52000.0
11453003,AMPC,L,30.0,7202.5641025641025
11607007,PDLP,L,30.0,3020.5882352941176
11616001,AMPC,L,30.0,4342.105263157895
11626001,AMPC,L,30.0,14642.857142857143
11672002,PDLP,L,30.0,5934.782608695652
11765003,DFPS,A,365.0,98000.0
11840016,PDLP,A,30.0,5666.666666666667
